Submission Number, AveErr, RMS, AUE, tau, R, maxErr, Percent Correct Sign, error slope, CorrectLipinski, compare slope
12, -8 +/- 3, 21 +/- 3, 16 +/- 2, 0.5 +/- 0.1, 0.6 +/- 0.1, 44 +/- 2, 64 +/- 8, 0.0000 +/- 0.0003, 0.42 +/- 0.08, 8 +/- 2
14, -0.7 +/- 0.3, 2.0 +/- 0.3, 1.5 +/- 0.2, 0.66 +/- 0.07, 0.80 +/- 0.05, 5.7 +/- 0.8, 94 +/- 5, 0.8 +/- 0.1, 0.85 +/- 0.07, 1.4 +/- 0.2
15, -1.4 +/- 0.4, 2.8 +/- 0.5, 2.0 +/- 0.4, 0.61 +/- 0.08, 0.75 +/- 0.07, 8.0 +/- 0.9, 79 +/- 7, 0.7 +/- 0.1, 0.79 +/- 0.07, 1.7 +/- 0.3
16, 0.1 +/- 0.3, 1.8 +/- 0.3, 1.3 +/- 0.2, 0.77 +/- 0.05, 0.89 +/- 0.03, 4.9 +/- 0.7, 91 +/- 5, 0.6 +/- 0.1, 0.94 +/- 0.05, 1.5 +/- 0.2
17, -4.5 +/- 0.5, 5.4 +/- 0.6, 4.6 +/- 0.5, 0.3 +/- 0.1, 0.4 +/- 0.1, 13 +/- 1, 61 +/- 8, 0.45 +/- 0.08, 0.55 +/- 0.09, 1.5 +/- 0.5
18, -0.7 +/- 0.3, 1.9 +/- 0.3, 1.5 +/- 0.2, 0.6 +/- 0.1, 0.71 +/- 0.09, 5.1 +/- 0.6, 85 +/- 7, 0.75 +/- 0.09, 0.76 +/- 0.08, 1.1 +/- 0.2
19, 0.9 +/- 0.4, 2.5 +/- 0.2, 2.1 +/- 0.2, 0.62 +/- 0.08, 0.82 +/- 0.07, 5.1 +/- 0.4, 85 +/- 6, 0.87 +/- 0.09, 0.85 +/- 0.06, 1.4 +/- 0.2
20, -2.0 +/- 0.4, 3.0 +/- 0.3, 2.5 +/- 0.3, 0.56 +/- 0.08, 0.73 +/- 0.08, 7.1 +/- 0.6, 70 +/- 8, 0.43 +/- 0.09, 0.70 +/- 0.08, 1.6 +/- 0.3
21, -1.5 +/- 0.4, 2.6 +/- 0.3, 2.1 +/- 0.3, 0.48 +/- 0.09, 0.64 +/- 0.08, 6.2 +/- 0.7, 70 +/- 8, 0.5 +/- 0.1, 0.70 +/- 0.08, 1.2 +/- 0.2
22, 1.3 +/- 0.5, 3.5 +/- 0.4, 2.7 +/- 0.4, 0.3 +/- 0.1, 0.5 +/- 0.1, 8.5 +/- 0.9, 76 +/- 7, 0.7 +/- 0.1, 0.52 +/- 0.09, 0.8 +/- 0.3
23, 1.1 +/- 0.4, 2.6 +/- 0.4, 1.9 +/- 0.3, 0.51 +/- 0.08, 0.68 +/- 0.07, 7 +/- 1, 82 +/- 7, 1.01 +/- 0.09, 0.79 +/- 0.07, 1.0 +/- 0.2
